Kingdom,Phylum,Class,Order,Family,Genus,Species,Common Name,Model,Model Level,Sedentary,Max Depth (m),Min Depth (m),count
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus bermudensis,Bermuda Blue Angelfish,Assets/SpecimenPrefabs/Holacanthus.prefab,Genus,FALSE,24.68884938,20.42164084,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus ciliaris,Queen Angelfish,Assets/SpecimenPrefabs/Holacanthus.prefab,Genus,FALSE,36.57607315,6.705613411,34
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus isabelita,Blue Angelfish,Assets/SpecimenPrefabs/Holacanthus.prefab,Genus,FALSE,22.6,21.3,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Holacanthus,Holacanthus tricolor,Rock Beauty,Assets/SpecimenPrefabs/Holacanthus.prefab,Genus,FALSE,36.57607315,6.705613411,13
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,Pomacanthus arcuatus,Gray Angelfish,Assets/SpecimenPrefabs/Pomacanthus.prefab,Genus,FALSE,21.06172212,6.705613411,11
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,Pomacanthus imperator,Emperor Angelfish,Assets/SpecimenPrefabs/Pomacanthus.prefab,Genus,FALSE,26.51765304,15.24003048,14
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus,Pomacanthus paru,French Angelfish,Assets/SpecimenPrefabs/Pomacanthus.prefab,Genus,FALSE,32.46004572,6.705613411,18
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis,Sergeant Major,Assets/SpecimenPrefabs/Pomacentridae.prefab,Family,FALSE,24.4,17.5,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf troschelii,Panamic Sergeant Major,Assets/SpecimenPrefabs/Pomacentridae.prefab,Family,FALSE,15,15,1
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,Assets/SpecimenPrefabs/Pomacentridae.prefab,Family,FALSE,30.48006096,12,9
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis atrilobata,Scissortail Damselfish,Assets/SpecimenPrefabs/Pomacentridae.prefab,Family,FALSE,10,10,1
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis cyanea,Blue Chromis,Assets/SpecimenPrefabs/Pomacentridae.prefab,Family,FALSE,22.86004572,12,8
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis multilineata,Brown Chromis,Assets/SpecimenPrefabs/Pomacentridae.prefab,Family,FALSE,12.49682499,3.048006096,3
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus bankanensis,Speckled Damselfish,Assets/SpecimenPrefabs/Pomacentridae.prefab,Family,FALSE,30.48006096,30.48006096,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus brachialis,Bar-finned Damselfish,Assets/SpecimenPrefabs/Pomacentridae.prefab,Family,FALSE,30.48006096,30.48006096,2
Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus,Pomacentrus coelestis,Neon Damselfish,Assets/SpecimenPrefabs/Pomacentridae.prefab,Family,FALSE,16.2,16.2,1
